run,subrun,event,col_wire,col_time,ind_wire,ind_time
8595,82,7623,26,1185,23,1158
8595,85,7910,29,1353,19,1320
8595,88,8187,18,958,29,919
8595,90,8398,29,1166,20,1144
8595,94,8772,34,1319,13,1295
8595,96,8951,36,1355,12,1335
8595,97,9046,23,1181,25,1159
8595,108,10002,25,1521,25,1506
8595,113,10430,16,1009,31,976
8595,116,10702,177,2529,28,1050
8595,119,10956,31,1075,17,1046
8595,120,11063,25,1158,24,1138
8595,128,11795,20,959,28,941
8595,137,12579,28,1219,20,1189
8595,143,13105,33,1204,15,1188
8595,145,13278,18,1232,30,1213
8595,145,13284,30,1108,18,1074
8595,147,13470,20,969,28,950
8595,161,14741,37,1228,11,1204
8595,161,14744,20,1152,28,1135
8595,172,15727,32,867,17,855
8595,172,15730,22,1188,27,1177
8595,179,16368,26,1488,23,1462
8595,181,16535,28,1054,21,1028
8595,188,17152,27,853,21,832
8595,193,17599,44,1711,18,1535
8595,197,18019,24,1446,25,1413
8595,202,18458,29,985,20,960
8595,204,18660,19,1494,30,1472
8595,212,19410,30,1539,18,1517
8596,10,904,28,950,20,919
8596,12,1121,48,1418,20,1440
8596,13,1216,18,1349,29,1326
8596,16,1503,39,1042,16,1039
8596,17,1601,33,1168,15,1147
8596,19,1788,25,1373,24,1346
8596,20,1880,34,1006,14,978
8596,34,3175,26,1048,22,1011
8596,36,3370,26,924,23,897
8596,37,3468,22,996,25,968
8596,45,4200,23,1491,25,1469
8596,47,4391,30,921,18,900
8596,49,4596,24,1168,24,1137
8596,58,5413,31,1185,17,1156
