run,subrun,event
8605,184,16713
8605,184,16717
8605,194,17611
8605,196,17794
8605,212,19219
8591,7,505
8591,7,522
8591,37,3504
8591,136,13220
8591,138,13447
8591,205,20029
8591,206,20134
8591,210,20517
8591,210,20520
8591,224,21932
8591,249,24312
8591,287,28012
8591,287,28028
8591,300,29263
8591,313,30489
8591,327,31778
8591,338,32786
8605,2,339
8605,20,1973
8605,22,2150
8605,43,4037
8605,90,8440
8605,96,8961
8605,107,9890
8605,114,10545
8605,147,13410
8605,191,17335
8605,198,18004
8605,198,18007
8605,204,18507
8605,204,18511
8605,270,24543
8605,270,24544
8605,270,24548
8605,275,25022
8605,287,26080
8605,292,26455
8605,422,37859
8605,428,38402
8605,446,40078
9436,67,4667
9436,70,5003
9436,71,5088
9436,75,5667
9436,77,5918
9436,82,6484
9436,119,11306
9436,124,12018
9436,125,12156
9436,129,12662
9436,134,13315
9436,150,15325
9436,154,15924
9436,154,15947
9436,162,16965
9436,163,17081
9436,172,18395
9436,173,18501
9436,179,19452
9436,180,19527
9436,183,20016
9436,193,21461
9436,193,21489
9437,4,478
9437,4,503
9437,5,650
9437,5,666
9437,7,965
9436,66,4589
9436,72,5226
9436,73,5391
9436,76,5783
9436,87,7260
9436,123,11899
9436,123,11910
9436,128,12492
9436,132,13099
9436,132,13123
9436,133,13198
9436,137,13725
9436,138,13858
9436,144,14550
9436,144,14553
9436,145,14658
9436,151,15437
9436,152,15603
9436,157,16275
9436,158,16471
9436,160,16697
9436,165,17461
9436,166,17538
9436,166,17559
9436,181,19744
9436,189,20925
9436,190,21046
9436,194,21594
9436,194,21596
9533,6,433
9533,6,447
9533,17,1199
9533,25,1743
9533,26,1819
9533,31,2203
9533,37,2625
9533,54,3833
9533,57,4059
9533,72,5177
9533,76,5460
9533,80,5782
9533,88,6313
9533,92,6590
9533,94,6722
9533,114,8168
9533,122,8734
9533,131,9408
9533,131,9416
9533,143,10287
9533,144,10380
9533,146,10518
9533,150,10779
9533,160,11516
9533,164,11793
9533,164,11794
9533,168,12098
9533,180,12905
9533,46,3282
9533,87,6261
9533,100,7201
9533,101,7275
9533,121,8667
9533,121,8670
9533,126,9054
9533,127,9121
9533,145,10447
9533,158,11350
9533,158,11366
9533,158,11371
9533,167,12059
9533,174,12536
9533,174,12542
9533,179,12820
9783,7,986
9783,10,1448
9783,10,1481
9783,16,2425
9783,17,2582
9783,18,2719
9783,20,3019
9783,21,3156
9783,28,4276
9783,31,4765
9783,34,5223
9783,37,5638
9783,37,5654
9783,39,5958
9783,44,6745
9788,6,443
9788,11,888
9788,22,1848
9788,22,1862
9788,69,4963
9788,82,6063
